iter	Passed	Remaining
249	35170	105512
250	35317	105388
251	35442	105203
252	35575	105038
253	35799	105142
254	35931	104976
255	36061	104804
256	36191	104632
257	36322	104461
258	36453	104293
259	36596	104159
260	36739	104025
261	36878	103879
262	37017	103734
263	37157	103589
264	37300	103456
265	37435	103299
266	37569	103139
267	37706	102988
268	37841	102833
269	37986	102704
270	38126	102560
271	38268	102423
272	38396	102250
273	38538	102112
274	38675	101962
275	38825	101846
276	38988	101765
277	39132	101631
278	39263	101466
279	39414	101352
280	39549	101196
281	39696	101071
282	39840	100937
283	39987	100813
284	40129	100674
285	40267	100528
286	40394	100353
287	40523	100182
288	40663	100039
289	40797	99882
290	40930	99724
291	41061	99560
292	41187	99383
293	41312	99206
294	41445	99048
295	41582	98899
296	41715	98740
297	41855	98598
298	41998	98465
299	42133	98311
300	42269	98159
301	42397	97991
302	42535	97846
303	42670	97693
304	42801	97530
305	42935	97376
306	43083	97253
307	43235	97140
308	43379	97008
309	43517	96862
310	43675	96761
311	43829	96650
312	43983	96538
313	44138	96430
314	44295	96324
315	44432	96177
316	44580	96051
317	44724	95919
318	44862	95771
319	45005	95636
320	45138	95480
321	45272	95325
322	45401	95160
323	45536	95008
324	45674	94862
325	45809	94710
326	45943	94556
327	46084	94417
328	46216	94258
329	46352	94108
330	46490	93964
331	46629	93819
332	46769	93679
333	46905	93531
334	47038	93375
335	47167	93212
336	47297	93051
337	47426	92888
338	47554	92724
339	47687	92570
340	47819	92414
341	47961	92276
342	48101	92135
343	48247	92006
344	48391	91873
345	48530	91731
346	48675	91600
347	48818	91465
348	48968	91342
349	49110	91204
350	49272	91105
351	49410	90959
352	49548	90815
353	49683	90665
354	49846	90565
355	50001	90452
356	50134	90298
357	50271	90151
358	50404	89998
359	50538	89846
360	50671	89692
361	50808	89545
362	50948	89405
363	51093	89272
364	51224	89116
365	51351	88953
366	51494	88816
367	51639	88684
368	51776	88538
369	51918	88401
370	52053	88251
371	52197	88118
372	52331	87966
373	52462	87810
374	52595	87659
375	52725	87502
376	52855	87344
377	52987	87191
378	53118	87036
379	53258	86894
380	53398	86754
381	53541	86619
382	53679	86476
383	53822	86340
384	53969	86210
385	54110	86072
386	54247	85927
387	54379	85773
388	54522	85638
389	54665	85502
390	54812	85373
391	55038	85366
392	55213	85278
393	55350	85132
394	55516	85031
395	55679	84925
396	55828	84797
397	55973	84663
398	56107	84513
399	56247	84370
400	56392	84237
401	56540	84107
402	56682	83968
403	56816	83817
404	56955	83674
405	57108	83553
406	57261	83429
407	57408	83299
408	57549	83158
409	57687	83013
410	57834	82882
411	57982	82751
412	58114	82597
413	58261	82466
414	58412	82340
415	58558	82206
416	58704	82073
417	58849	81938
418	58998	81808
419	59132	81658
420	59272	81517
421	59411	81373
422	59544	81222
423	59682	81078
424	59819	80931
425	59961	80792
426	60102	80652
427	60238	80505
428	60384	80371
429	60534	80243
430	60700	80135
431	60842	79996
432	60991	79866
433	61126	79718
434	61257	79564
435	61390	79412
436	61524	79264
437	61664	79121
438	61808	78984
439	61953	78850
440	62091	78705
441	62225	78555
442	62359	78406
443	62491	78255
444	62630	78112
445	62765	77963
446	62891	77805
447	63111	77761
448	63239	77605
449	63367	77449
450	63498	77296
451	63631	77146
452	63767	76999
453	63900	76849
454	64032	76697
455	64162	76545
456	64289	76387
457	64418	76232
458	64545	76076
459	64674	75922
460	64810	75776
461	64952	75637
462	65090	75493
463	65231	75354
464	65369	75209
465	65516	75077
466	65654	74933
467	65794	74792
468	65937	74653
469	66079	74514
470	66218	74372
471	66357	74229
472	66498	74090
473	66639	73950
474	66778	73807
475	66913	73660
476	67043	73509
477	67174	73357
478	67305	73207
479	67436	73056
480	67566	72904
481	67698	72754
482	67830	72604
483	67961	72454
484	68090	72302
485	68221	72151
486	68355	72004
487	68486	71855
488	68621	71708
489	68751	71557
490	68885	71410
491	69020	71264
492	69167	71131
493	69296	70979
494	69425	70828
495	69558	70680
496	69690	70531
497	69826	70387
498	69955	70235
499	70084	70084
500	70209	69928
501	70339	69779
502	70467	69627
503	70603	69482
504	70739	69338
505	70873	69193
506	71007	69047
507	71138	68898
508	71272	68751
509	71414	68613
510	71548	68467
511	71688	68328
512	71822	68181
513	71959	68039
514	72089	67890
515	72219	67740
516	72350	67592
517	72480	67442
518	72611	67295
519	72741	67146
520	72868	66994
521	72998	66845
522	73130	66698
523	73260	66549
524	73385	66396
525	73511	66243
526	73643	66097
527	73772	65948
528	73907	65803
529	74038	65656
530	74166	65506
531	74291	65354
532	74420	65205
533	74553	65059
534	74689	64916
535	74822	64771
536	74966	64635
537	75103	64494
538	75246	64357
539	75390	64221
540	75532	64083
541	75668	63941
542	75807	63801
543	75990	63697
544	76131	63559
545	76269	63418
546	76401	63272
547	76526	63120
548	76657	62973
549	76834	62864
550	76975	62726
551	77105	62578
552	77235	62431
553	77389	62302
554	77557	62185
555	77816	62140
556	78027	62057
557	78160	61912
558	78307	61777
559	78448	61637
560	78588	61497
561	78724	61354
562	78927	61263
563	79089	61140
564	79226	60997
565	79362	60853
566	79496	60708
567	79631	60564
568	79766	60421
569	79919	60289
570	80055	60146
571	80185	59999
572	80318	59853
573	80458	59712
574	80598	59573
575	80737	59431
576	80890	59301
577	81035	59164
578	81214	59052
579	81388	58936
580	81563	58820
581	81734	58702
582	81912	58589
583	82085	58472
584	82242	58342
585	82409	58221
586	82563	58090
587	82730	57967
588	82890	57840
589	83043	57708
590	83200	57578
591	83359	57450
592	83532	57331
593	83690	57202
594	83866	57085
595	84022	56954
596	84156	56809
597	84284	56659
598	84412	56509
599	84548	56365
600	84689	56224
601	84829	56083
602	84973	55944
603	85107	55799
604	85242	55654
605	85374	55507
606	85504	55359
607	85641	55216
608	85779	55073
609	85923	54934
610	86061	54791
611	86193	54645
612	86324	54498
613	86481	54367
614	86631	54232
615	86766	54088
616	86908	53948
617	87050	53807
618	87183	53662
619	87325	53522
620	87464	53380
621	87640	53260
622	87783	53120
623	87920	52977
624	88058	52834
625	88194	52691
626	88331	52548
627	88464	52402
628	88598	52257
629	88728	52110
630	88863	51966
631	89048	51851
632	89215	51725
633	89351	51581
634	89502	51446
635	89648	51308
636	89795	51170
637	89932	51027
638	90063	50880
639	90189	50731
640	90331	50591
641	90475	50452
642	90652	50331
643	90803	50195
644	90957	50061
645	91121	49933
646	91256	49789
647	91394	49646
648	91528	49501
649	91672	49362
650	91814	49221
651	91948	49076
652	92079	48930
653	92208	48782
654	92340	48637
655	92488	48500
656	92622	48355
657	92765	48215
658	92914	48078
659	93060	47940
660	93210	47803
661	93352	47663
662	93491	47521
663	93629	47378
664	93778	47241
665	93926	47104
666	94065	46962
667	94200	46817
668	94334	46673
669	94471	46530
670	94606	46386
671	94752	46248
672	94889	46105
673	95030	45964
674	95167	45821
675	95308	45680
676	95542	45583
677	95685	45443
678	95830	45304
679	95973	45163
680	96117	45024
681	96250	44879
682	96391	44738
683	96534	44597
684	96677	44457
685	96819	44316
686	96960	44175
687	97093	44030
688	97225	43885
689	97366	43744
690	97520	43609
691	97673	43473
692	97822	43335
693	97969	43196
694	98106	43054
695	98241	42909
696	98370	42763
697	98503	42619
698	98654	42482
699	98806	42345
700	98954	42207
701	99097	42067
702	99238	41925
703	99384	41786
704	99527	41646
705	99670	41505
706	99825	41370
707	99959	41226
708	100117	41091
709	100311	40972
710	100463	40835
711	100609	40696
712	100755	40556
713	100938	40431
714	101081	40291
715	101220	40148
716	101356	40005
717	101536	39879
718	101683	39739
719	101818	39596
720	101954	39452
721	102085	39307
722	102215	39161
723	102345	39015
724	102476	38870
725	102615	38728
726	102754	38585
727	102887	38441
728	103025	38298
729	103160	38155
730	103300	38013
731	103439	37871
732	103579	37729
733	103715	37586
734	103861	37446
735	103999	37304
736	104133	37160
737	104268	37016
738	104404	36873
739	104538	36729
740	104683	36589
741	104827	36449
742	104970	36308
743	105114	36168
744	105257	36027
745	105391	35883
746	105533	35742
747	105706	35612
748	105942	35502
749	106120	35373
750	106256	35230
751	106391	35086
752	106521	34941
753	106751	34828
754	106986	34717
755	107217	34604
756	107442	34489
757	107688	34380
758	107842	34242
759	107973	34096
760	108104	33951
761	108240	33807
762	108385	33666
763	108527	33524
764	108683	33386
765	108849	33251
766	108991	33109
767	109130	32966
768	109264	32822
769	109396	32677
770	109529	32532
771	109671	32389
772	109811	32247
773	109950	32104
774	110097	31963
775	110233	31820
776	110372	31677
777	110509	31533
778	110656	31392
779	110806	31252
780	110954	31112
781	111095	30970
782	111231	30826
783	111387	30688
784	111535	30547
785	111671	30404
786	111804	30259
787	111937	30115
788	112074	29971
789	112255	29839
790	112406	29700
791	112542	29556
792	112674	29411
793	112813	29268
794	112964	29129
795	113106	28987
796	113244	28844
797	113382	28700
798	113517	28556
799	113661	28415
800	113835	28281
801	113969	28137
802	114104	27993
803	114236	27848
804	114367	27704
805	114501	27559
806	114632	27415
807	114768	27271
808	114903	27128
809	115040	26984
810	115169	26839
811	115301	26695
812	115436	26551
813	115570	26408
814	115703	26263
815	115842	26121
816	115975	25977
817	116106	25832
818	116248	25690
819	116429	25557
820	116591	25420
821	116736	25278
822	116886	25138
823	117028	24996
824	117164	24853
825	117304	24710
826	117440	24567
827	117575	24423
828	117712	24280
829	117850	24138
830	117991	23995
831	118125	23852
832	118258	23708
833	118391	23564
834	118537	23423
835	118702	23286
836	118839	23143
837	118978	23000
838	119108	22856
839	119239	22712
840	119369	22568
841	119499	22423
842	119629	22279
843	119763	22136
844	119902	21994
845	120041	21851
846	120168	21707
847	120298	21562
848	120435	21420
849	120584	21279
850	120765	21144
851	120919	21004
852	121056	20861
853	121190	20718
854	121405	20589
855	121568	20450
856	121719	20310
857	121864	20168
858	122012	20027
859	122155	19885
860	122297	19743
861	122499	19611
862	122650	19470
863	122793	19328
864	122930	19185
865	123068	19042
866	123199	18899
867	123334	18755
868	123467	18612
869	123615	18471
870	123776	18331
871	123942	18193
872	124101	18053
873	124237	17910
874	124373	17767
875	124505	17624
876	124643	17481
877	124778	17338
878	124916	17195
879	125054	17052
880	125186	16909
881	125325	16766
882	125461	16624
883	125598	16481
884	125793	16346
885	125949	16205
886	126085	16062
887	126213	15918
888	126346	15775
889	126484	15632
890	126620	15489
891	126755	15347
892	126899	15205
893	127083	15068
894	127359	14941
895	127530	14802
896	127675	14660
897	127818	14518
898	127955	14375
899	128089	14232
900	128221	14088
901	128350	13944
902	128506	13804
903	128652	13662
904	128782	13518
905	128915	13375
906	129047	13232
907	129178	13088
908	129312	12945
909	129442	12802
910	129577	12659
911	129714	12516
912	129854	12373
913	129990	12231
914	130123	12088
915	130254	11944
916	130387	11801
917	130517	11658
918	130655	11515
919	130791	11373
920	130929	11230
921	131065	11087
922	131200	10945
923	131341	10802
924	131485	10660
925	131619	10518
926	131751	10375
927	131886	10232
928	132023	10090
929	132155	9947
930	132288	9804
931	132418	9661
932	132550	9518
933	132683	9375
934	132820	9233
935	132954	9090
936	133088	8948
937	133219	8805
938	133350	8662
939	133475	8519
940	133605	8376
941	133741	8234
942	133879	8092
943	134013	7949
944	134140	7807
945	134269	7664
946	134402	7521
947	134533	7379
948	134672	7237
949	134816	7095
950	134952	6953
951	135087	6811
952	135222	6668
953	135355	6526
954	135492	6384
955	135625	6242
956	135758	6099
957	135893	5957
958	136028	5815
959	136161	5673
960	136296	5531
961	136425	5388
962	136565	5247
963	136699	5104
964	136838	4963
965	136975	4821
966	137109	4679
967	137238	4536
968	137368	4394
969	137500	4252
970	137633	4110
971	137771	3968
972	137911	3826
973	138044	3684
974	138179	3543
975	138308	3401
976	138438	3259
977	138569	3117
978	138705	2975
979	138839	2833
980	138975	2691
981	139105	2549
982	139235	2407
983	139367	2266
984	139502	2124
985	139638	1982
986	139778	1841
987	139919	1699
988	140060	1557
989	140193	1416
990	140329	1274
991	140466	1132
992	140598	991
993	140735	849
994	140877	707
995	141015	566
996	141156	424
997	141285	283
998	141416	141
999	141566	0
