iter	Logloss
0	0.6716037854
1	0.6516374521
2	0.6346558567
3	0.6181218366
4	0.6008755814
5	0.5861966026
6	0.5718794648
7	0.557135841
8	0.5434964547
9	0.5310329333
10	0.5195426496
11	0.5085401721
12	0.4967861784
13	0.4861297251
14	0.4752644698
15	0.4651601354
16	0.4560174014
17	0.4472366511
18	0.4369385716
19	0.4294293474
20	0.4226474153
21	0.4158445366
22	0.4106822448
23	0.404582434
24	0.3978013807
25	0.3906949886
26	0.3844692364
27	0.3787020078
28	0.3739738494
29	0.3690608281
30	0.3640337636
31	0.3579997853
32	0.3532629347
33	0.3485454871
34	0.3440069889
35	0.340143701
36	0.3360768596
37	0.3308882539
38	0.326992311
39	0.3236750146
40	0.3200432328
41	0.3166449283
42	0.3132093853
43	0.309888384
44	0.3066816872
45	0.3030824416
46	0.2998053762
47	0.2968975616
48	0.2938426452
49	0.2910640731
50	0.2882060604
51	0.2850375758
52	0.282486045
53	0.2795118755
54	0.276815879
55	0.2743730953
56	0.2721654513
57	0.2701722616
58	0.2682724771
59	0.2665622815
60	0.2644558324
61	0.2625752371
62	0.260799684
63	0.2585864828
64	0.2564283794
65	0.2547259973
66	0.2531398669
67	0.2512667289
68	0.2497410637
69	0.248256342
70	0.2466035004
71	0.2449550525
72	0.2437303595
73	0.242526637
74	0.2412507647
75	0.2397056728
76	0.2386191045
77	0.2374718811
78	0.2359026126
79	0.2341554159
80	0.2324599685
81	0.2311508951
82	0.229987071
83	0.2286430151
84	0.2271721153
85	0.2259727864
86	0.2250710098
87	0.2238830804
88	0.2228433453
89	0.2217918544
90	0.2206071074
91	0.2194086097
92	0.2185035795
93	0.2170833365
94	0.216126177
95	0.2153180668
96	0.2141324173
97	0.212969472
98	0.2119926245
99	0.211185393
100	0.2100397132
101	0.2091718978
102	0.2083435296
103	0.2073410806
104	0.2063787438
105	0.2054110872
106	0.2046267023
107	0.203554241
108	0.2024966466
109	0.2014637513
110	0.2006461652
111	0.2000154369
112	0.1993437177
